Model,Variant,Accuracy,Precision,Recall,F1
Logistic Regression,A (no cluster),0.6763070295672606,0.2195173581710414,0.6993761591637161,0.3341523341523341
Logistic Regression,B (with cluster),0.6767965537497552,0.2197487676896168,0.6990389479008599,0.3343818049842729
Random Forest,A (no cluster),0.7087722733503035,0.2342486923442701,0.6644747934581015,0.3463854098000439
Random Forest,B (with cluster),0.8386136675151753,0.3300985149242758,0.3785196425560613,0.3526547282437952

XGBoost (optimized),B (with cluster),0.8029371450949677,0.2935358177640124,0.4953633451357275,0.3686323713927227
XGBoost (optimized),B (with cluster),0.8029371450949677,0.2935358177640124,0.4953633451357275,0.3686323713927227
